Benchmark botów (B0) — deterministyczny, ADR 0005
boty: aggro, heuristic, random | talie: 12 | seedy: 50 (baza 1000) | limit komend: 8000

== aggro vs heuristic ==
  aggro 34.5% (2693/7800) | heuristic 65.5% (5107/7800)
  niedokończone: 0 | śr. 18.5 tury | śr. 430.9 komend
    azorius | azorius                             aggro 42.0% (42/100) | heuristic 58.0% (58/100)
    azorius | black                               aggro 18.0% (18/100) | heuristic 82.0% (82/100)
    azorius | graveyard                           aggro 15.0% (15/100) | heuristic 85.0% (85/100)
    azorius | green                               aggro 17.0% (17/100) | heuristic 83.0% (83/100)
    azorius | innistrad                           aggro 38.0% (38/100) | heuristic 62.0% (62/100)
    azorius | mechanicy                           aggro 38.0% (38/100) | heuristic 62.0% (62/100)
    azorius | ostrza                              aggro 20.0% (20/100) | heuristic 80.0% (80/100)
    azorius | red                                 aggro 35.0% (35/100) | heuristic 65.0% (65/100)
    azorius | sojusznicy                          aggro 12.0% (12/100) | heuristic 88.0% (88/100)
    azorius | spellslinger                        aggro 47.0% (47/100) | heuristic 53.0% (53/100)
    azorius | tokens                              aggro 18.0% (18/100) | heuristic 82.0% (82/100)
    azorius | wiedzmin                            aggro 9.0% (9/100) | heuristic 91.0% (91/100)
    black | black                                 aggro 36.0% (36/100) | heuristic 64.0% (64/100)
    black | graveyard                             aggro 39.0% (39/100) | heuristic 61.0% (61/100)
    black | green                                 aggro 35.0% (35/100) | heuristic 65.0% (65/100)
    black | innistrad                             aggro 65.0% (65/100) | heuristic 35.0% (35/100)
    black | mechanicy                             aggro 68.0% (68/100) | heuristic 32.0% (32/100)
    black | ostrza                                aggro 43.0% (43/100) | heuristic 57.0% (57/100)
    black | red                                   aggro 56.0% (56/100) | heuristic 44.0% (44/100)
    black | sojusznicy                            aggro 42.0% (42/100) | heuristic 58.0% (58/100)
    black | spellslinger                          aggro 70.0% (70/100) | heuristic 30.0% (30/100)
    black | tokens                                aggro 32.0% (32/100) | heuristic 68.0% (68/100)
    black | wiedzmin                              aggro 30.0% (30/100) | heuristic 70.0% (70/100)
    graveyard | graveyard                         aggro 30.0% (30/100) | heuristic 70.0% (70/100)
    graveyard | green                             aggro 32.0% (32/100) | heuristic 68.0% (68/100)
    graveyard | innistrad                         aggro 55.0% (55/100) | heuristic 45.0% (45/100)
    graveyard | mechanicy                         aggro 53.0% (53/100) | heuristic 47.0% (47/100)
    graveyard | ostrza                            aggro 36.0% (36/100) | heuristic 64.0% (64/100)
    graveyard | red                               aggro 52.0% (52/100) | heuristic 48.0% (48/100)
    graveyard | sojusznicy                        aggro 24.0% (24/100) | heuristic 76.0% (76/100)
    graveyard | spellslinger                      aggro 52.0% (52/100) | heuristic 48.0% (48/100)
    graveyard | tokens                            aggro 23.0% (23/100) | heuristic 77.0% (77/100)
    graveyard | wiedzmin                          aggro 18.0% (18/100) | heuristic 82.0% (82/100)
    green | green                                 aggro 30.0% (30/100) | heuristic 70.0% (70/100)
    green | innistrad                             aggro 58.0% (58/100) | heuristic 42.0% (42/100)
    green | mechanicy                             aggro 65.0% (65/100) | heuristic 35.0% (35/100)
    green | ostrza                                aggro 34.0% (34/100) | heuristic 66.0% (66/100)
    green | red                                   aggro 55.0% (55/100) | heuristic 45.0% (45/100)
    green | sojusznicy                            aggro 28.0% (28/100) | heuristic 72.0% (72/100)
    green | spellslinger                          aggro 66.0% (66/100) | heuristic 34.0% (34/100)
    green | tokens                                aggro 26.0% (26/100) | heuristic 74.0% (74/100)
    green | wiedzmin                              aggro 16.0% (16/100) | heuristic 84.0% (84/100)
    innistrad | innistrad                         aggro 45.0% (45/100) | heuristic 55.0% (55/100)
    innistrad | mechanicy                         aggro 50.0% (50/100) | heuristic 50.0% (50/100)
    innistrad | ostrza                            aggro 18.0% (18/100) | heuristic 82.0% (82/100)
    innistrad | red                               aggro 42.0% (42/100) | heuristic 58.0% (58/100)
    innistrad | sojusznicy                        aggro 18.0% (18/100) | heuristic 82.0% (82/100)
    innistrad | spellslinger                      aggro 47.0% (47/100) | heuristic 53.0% (53/100)
    innistrad | tokens                            aggro 17.0% (17/100) | heuristic 83.0% (83/100)
    innistrad | wiedzmin                          aggro 8.0% (8/100) | heuristic 92.0% (92/100)
    mechanicy | mechanicy                         aggro 39.0% (39/100) | heuristic 61.0% (61/100)
